drug,receptor_block,seed,pose_rank,vina_score_kcal_mol,rmsd_lb,rmsd_ub,source_file,line_number,record_index,record_status,raw_record,source_pdbqt
diazepam,alpha1,2026091905,8,-7.227,4.151,6.557,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt,254,8,valid,REMARK VINA RESULT:    -7.227      4.151      6.557,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt
diazepam,alpha1,2026091905,9,-6.931,4.701,6.768,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt,290,9,valid,REMARK VINA RESULT:    -6.931      4.701      6.768,raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt
diazepam,alpha2,2026091901,1,-7.902,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt,2,1,valid,REMARK VINA RESULT:    -7.902      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt
diazepam,alpha2,2026091901,2,-7.103,2.802,5.379,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt,38,2,valid,REMARK VINA RESULT:    -7.103      2.802      5.379,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt
diazepam,alpha2,2026091901,3,-6.672,3.32,6.117,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt,74,3,valid,REMARK VINA RESULT:    -6.672      3.320      6.117,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt
diazepam,alpha2,2026091901,4,-6.381,4.949,7.074,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt,110,4,valid,REMARK VINA RESULT:    -6.381      4.949      7.074,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt
diazepam,alpha2,2026091901,5,-6.367,4.423,7.392,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt,146,5,valid,REMARK VINA RESULT:    -6.367      4.423      7.392,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt
diazepam,alpha2,2026091901,6,-6.32,2.908,4.45,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt,182,6,valid,REMARK VINA RESULT:    -6.320      2.908      4.450,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt
diazepam,alpha2,2026091901,7,-6.195,4.979,8.214,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt,218,7,valid,REMARK VINA RESULT:    -6.195      4.979      8.214,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt
diazepam,alpha2,2026091901,8,-6.142,5.628,8.826,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt,254,8,valid,REMARK VINA RESULT:    -6.142      5.628      8.826,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt
diazepam,alpha2,2026091901,9,-6.065,5.176,8.235,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt,290,9,valid,REMARK VINA RESULT:    -6.065      5.176      8.235,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt
diazepam,alpha2,2026091902,1,-7.907,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt,2,1,valid,REMARK VINA RESULT:    -7.907      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt
diazepam,alpha2,2026091902,2,-7.145,2.796,5.373,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt,38,2,valid,REMARK VINA RESULT:    -7.145      2.796      5.373,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt
diazepam,alpha2,2026091902,3,-6.688,3.324,6.118,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt,74,3,valid,REMARK VINA RESULT:    -6.688      3.324      6.118,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt
diazepam,alpha2,2026091902,4,-6.482,3.206,6.109,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt,110,4,valid,REMARK VINA RESULT:    -6.482      3.206      6.109,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt
diazepam,alpha2,2026091902,5,-6.364,4.409,7.306,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt,146,5,valid,REMARK VINA RESULT:    -6.364      4.409      7.306,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt
diazepam,alpha2,2026091902,6,-6.358,2.892,4.429,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt,182,6,valid,REMARK VINA RESULT:    -6.358      2.892      4.429,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt
diazepam,alpha2,2026091902,7,-6.35,4.939,7.063,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt,218,7,valid,REMARK VINA RESULT:    -6.350      4.939      7.063,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt
diazepam,alpha2,2026091902,8,-6.114,4.575,7.733,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt,254,8,valid,REMARK VINA RESULT:    -6.114      4.575      7.733,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt
diazepam,alpha2,2026091902,9,-5.937,4.405,6.146,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt,290,9,valid,REMARK VINA RESULT:    -5.937      4.405      6.146,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt
diazepam,alpha2,2026091903,1,-7.733,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt,2,1,valid,REMARK VINA RESULT:    -7.733      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt
diazepam,alpha2,2026091903,2,-7.311,4.074,5.474,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt,38,2,valid,REMARK VINA RESULT:    -7.311      4.074      5.474,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt
diazepam,alpha2,2026091903,3,-7.259,2.781,4.141,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt,74,3,valid,REMARK VINA RESULT:    -7.259      2.781      4.141,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt
diazepam,alpha2,2026091903,4,-7.02,4.653,7.867,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt,110,4,valid,REMARK VINA RESULT:    -7.020      4.653      7.867,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt
diazepam,alpha2,2026091903,5,-6.957,3.257,5.898,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt,146,5,valid,REMARK VINA RESULT:    -6.957      3.257      5.898,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt
diazepam,alpha2,2026091903,6,-6.95,4.072,6.292,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt,182,6,valid,REMARK VINA RESULT:    -6.950      4.072      6.292,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt
diazepam,alpha2,2026091903,7,-6.829,5.232,7.882,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt,218,7,valid,REMARK VINA RESULT:    -6.829      5.232      7.882,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt
diazepam,alpha2,2026091903,8,-6.744,4.807,7.255,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt,254,8,valid,REMARK VINA RESULT:    -6.744      4.807      7.255,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt
diazepam,alpha2,2026091903,9,-6.398,5.429,8.018,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt,290,9,valid,REMARK VINA RESULT:    -6.398      5.429      8.018,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt
diazepam,alpha2,2026091904,1,-7.774,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt,2,1,valid,REMARK VINA RESULT:    -7.774      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt
diazepam,alpha2,2026091904,2,-7.298,4.073,5.462,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt,38,2,valid,REMARK VINA RESULT:    -7.298      4.073      5.462,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt
diazepam,alpha2,2026091904,3,-6.987,4.111,6.258,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt,74,3,valid,REMARK VINA RESULT:    -6.987      4.111      6.258,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt
diazepam,alpha2,2026091904,4,-6.974,3.254,5.88,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt,110,4,valid,REMARK VINA RESULT:    -6.974      3.254      5.880,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt
diazepam,alpha2,2026091904,5,-6.964,4.661,7.862,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt,146,5,valid,REMARK VINA RESULT:    -6.964      4.661      7.862,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt
diazepam,alpha2,2026091904,6,-6.821,5.269,7.92,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt,182,6,valid,REMARK VINA RESULT:    -6.821      5.269      7.920,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt
diazepam,alpha2,2026091904,7,-6.739,4.759,7.191,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt,218,7,valid,REMARK VINA RESULT:    -6.739      4.759      7.191,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt
diazepam,alpha2,2026091904,8,-6.578,4.545,6.588,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt,254,8,valid,REMARK VINA RESULT:    -6.578      4.545      6.588,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt
diazepam,alpha2,2026091904,9,-6.499,5.565,7.83,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt,290,9,valid,REMARK VINA RESULT:    -6.499      5.565      7.830,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt
diazepam,alpha2,2026091905,1,-7.757,0.0,0.0,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt,2,1,valid,REMARK VINA RESULT:    -7.757      0.000      0.000,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt
diazepam,alpha2,2026091905,2,-7.288,4.093,5.466,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt,38,2,valid,REMARK VINA RESULT:    -7.288      4.093      5.466,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt
diazepam,alpha2,2026091905,3,-7.129,2.771,4.283,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt,74,3,valid,REMARK VINA RESULT:    -7.129      2.771      4.283,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt
diazepam,alpha2,2026091905,4,-6.982,4.651,7.871,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt,110,4,valid,REMARK VINA RESULT:    -6.982      4.651      7.871,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt
diazepam,alpha2,2026091905,5,-6.936,4.159,6.433,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt,146,5,valid,REMARK VINA RESULT:    -6.936      4.159      6.433,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt
diazepam,alpha2,2026091905,6,-6.897,3.235,5.828,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt,182,6,valid,REMARK VINA RESULT:    -6.897      3.235      5.828,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt
diazepam,alpha2,2026091905,7,-6.803,5.153,7.804,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt,218,7,valid,REMARK VINA RESULT:    -6.803      5.153      7.804,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt
diazepam,alpha2,2026091905,8,-6.79,5.575,8.403,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt,254,8,valid,REMARK VINA RESULT:    -6.790      5.575      8.403,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt
diazepam,alpha2,2026091905,9,-6.479,5.578,7.856,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt,290,9,valid,REMARK VINA RESULT:    -6.479      5.578      7.856,raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt
triazolam,alpha1,2026091901,1,-10.889,0.0,0.0,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091901/poses.pdbqt,2,1,valid,REMARK VINA RESULT:   -10.889      0.000      0.000,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091901/poses.pdbqt
triazolam,alpha1,2026091901,2,-10.118,0.861,1.048,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091901/poses.pdbqt,41,2,valid,REMARK VINA RESULT:   -10.118      0.861      1.048,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091901/poses.pdbqt
triazolam,alpha1,2026091901,3,-8.747,2.517,6.403,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091901/poses.pdbqt,80,3,valid,REMARK VINA RESULT:    -8.747      2.517      6.403,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091901/poses.pdbqt
triazolam,alpha1,2026091901,4,-8.723,2.262,5.223,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091901/poses.pdbqt,119,4,valid,REMARK VINA RESULT:    -8.723      2.262      5.223,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091901/poses.pdbqt
triazolam,alpha1,2026091901,5,-7.836,4.442,7.343,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091901/poses.pdbqt,158,5,valid,REMARK VINA RESULT:    -7.836      4.442      7.343,raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091901/poses.pdbqt
